"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_01. Arbejdsløshedsdagpenge";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_02. Sygedagpenge";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_03. Barselsdagpenge";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_04. Kontanthjælp";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_05. Revalidering";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_06. Aktivering";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_07. Folkepension";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_08. Førtidspension";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_09. Efterløn";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_10. Modtager ikke ydelser";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_11. Ledighedsydelse og Fleksjob";"FV2022 - Antal personer opgjort efter forsørgelsestype og afstemningsområde_Antal personer i alt";"FV2022 - Husstandes bilrådighed fordelt på afstemningsområder_Husstande med 1 bil";"FV2022 - Husstandes bilrådighed fordelt på afstemningsområder_Husstande med 2 eller flere biler";"FV2022 - Husstandes bilrådighed fordelt på afstemningsområder_Husstande uden bil";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_100.000 - 149.999 kr";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_150.000 - 199.999 kr.";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_200.000 - 299.999 kr.";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_300.000 - 399.999 kr.";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_400.000 - 499.999 kr.";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_50%-percentil for husstandsindkomst";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_500.000 - 749.999 kr.";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_750.000 kr.-";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_80%-percentil for husstandsindkomst";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_Antal husstande i alt";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 20% der tjener mest";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_Bruttoindkomst for de 50% der tjener mest";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_Husstandenes formuesum";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_Husstandenes indkomstbruttosum";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 20% der tjener mest";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_Sum af formue for de 50% der tjener mest";"FV2022 - Husstandsindkomster fordelt på afstemningsområder_Under 100.000 kr."
"101001";"101001";"1";"1";"1";"916";"486";"537";"259";"-";"93";"1646";"244";"67";"11236";"78";"15562";"956";"2032";"5056";"238";"453";"1170";"970";"898";"491202";"1545";"2356";"954543";"7928";"2353964408";"3988804022";"17048022393";"5111841751";"6384137296";"11991076898";"298"
"101002";"101002";"1";"1";"1";"419";"283";"239";"184";"1";"45";"1307";"160";"34";"5669";"37";"8378";"658";"1256";"2385";"122";"244";"734";"563";"490";"469505";"763";"1287";"978451";"4351";"1813280147";"2699214963";"11894988966";"3295543695";"4722697344";"8459877415";"148"
"101003";"101003";"1";"1";"1";"900";"507";"530";"170";"-";"84";"1579";"177";"70";"11748";"81";"15846";"807";"2229";"4591";"260";"388";"1015";"811";"681";"542786";"1489";"2583";"1048512";"7547";"2551615423";"4268893205";"19258087754";"5378265254";"6952490708";"13297605071";"320"
"101005";"101005";"1";"1";"1";"933";"541";"603";"314";"2";"111";"2038";"376";"79";"10767";"90";"15854";"1057";"1958";"5361";"274";"596";"1465";"1005";"937";"438719";"1571";"1965";"826698";"8208";"1974027178";"3450403986";"14272835400";"4470922402";"5024367038";"9866109882";"395"
"101006";"101006";"1";"1";"1";"854";"498";"539";"307";"-";"95";"1617";"372";"40";"9086";"79";"13487";"954";"1802";"4349";"225";"422";"1301";"953";"788";"449840";"1394";"1819";"848245";"7164";"1844543365";"3177254429";"13579478251";"4123068245";"5325063625";"9704854820";"262"
"101007";"101007";"2";"1";"1";"800";"590";"415";"572";"2";"123";"1997";"510";"80";"9065";"111";"14265";"856";"2084";"4173";"260";"567";"1497";"996";"798";"401150";"1221";"1532";"783983";"7081";"1750447556";"2935331491";"11803950314";"3800526962";"5135867475";"9101790467";"210"
"101008";"101008";"2";"1";"1";"1253";"713";"622";"739";"2";"174";"1791";"645";"82";"12068";"103";"18192";"1027";"2036";"6431";"419";"650";"1771";"1392";"1230";"408813";"1794";"1868";"741033";"9550";"2051988955";"3618912982";"11808528435";"4781376601";"4483632571";"8549297847";"426"
"101009";"101009";"2";"1";"1";"1113";"676";"872";"286";"1";"122";"790";"297";"51";"14913";"67";"19188";"746";"2363";"5026";"222";"275";"770";"812";"892";"591789";"2097";"3073";"978291";"8590";"2309827916";"4291439632";"11230349188";"5745368418";"4590873152";"8120298791";"449"
"101010";"101010";"2";"1";"1";"845";"503";"825";"153";"1";"68";"1318";"162";"58";"11441";"77";"15451";"1022";"2639";"3606";"131";"226";"716";"683";"663";"662139";"1465";"3186";"1179644";"7251";"2725675120";"4680806044";"21215473525";"6047389643";"7326029253";"13786719839";"181"
"101011";"101011";"3";"1";"1";"1033";"520";"494";"1006";"-";"158";"1698";"242";"49";"15027";"56";"20283";"916";"1838";"5368";"277";"378";"981";"787";"748";"545166";"1484";"2860";"1066731";"8024";"3085311495";"4955938012";"19818014153";"6088122661";"7066758664";"13629543865";"509"
